id|record_type|cameo_title|compare_strings
58ce47e1fea250209c0a2648|Cameo.Phoenix.agents|CONTRABANDIST|contrabandist
58ce47e1fea250209c0a2649|Cameo.Phoenix.agents|CONVICT|convict
58ce47e1fea250209c0a264a|Cameo.Phoenix.agents|COUNTERFEITER|counterfeiter
58ce47e1fea250209c0a264b|Cameo.Phoenix.agents|CRIME_SYNDICATE|crime+syndicate
58ce47e1fea250209c0a264c|Cameo.Phoenix.agents|CRIMINAL|criminal
58ce47e1fea250209c0a264d|Cameo.Phoenix.agents|CROOK|crook
58ce47e1fea250209c0a264e|Cameo.Phoenix.agents|CULPRIT|culprit
58ce47e1fea250209c0a264f|Cameo.Phoenix.agents|CUTPURSE|cutpurse
58ce47e1fea250209c0a2650|Cameo.Phoenix.agents|DRUG_DEALER|drug+dealer
58ce47e1fea250209c0a2651|Cameo.Phoenix.agents|DRUG_GANG|drug+gang
58ce47e1fea250209c0a2652|Cameo.Phoenix.agents|DRUG_KINGPIN|drug+kingpin
58ce47e1fea250209c0a2653|Cameo.Phoenix.agents|DRUG_LORD|drug+lord
58ce47e1fea250209c0a2654|Cameo.Phoenix.agents|DRUG_MULE|drug+mule
58ce47e1fea250209c0a2655|Cameo.Phoenix.agents|DRUG_PEDDLER|drug+peddler
58ce47e1fea250209c0a2656|Cameo.Phoenix.agents|DRUG_PUSHER|drug+pusher
58ce47e1fea250209c0a2657|Cameo.Phoenix.agents|DRUG_RUNNER|drug+runner
58ce47e1fea250209c0a2658|Cameo.Phoenix.agents|DRUG_SYNDICATE|drug+syndicate
58ce47e1fea250209c0a2659|Cameo.Phoenix.agents|DRUG_TRAFFICKER|drug+trafficker
58ce47e1fea250209c0a265a|Cameo.Phoenix.agents|DRUG_TRAFFICKING_TERRORIST|drug+trafficking+terrorist
58ce47e1fea250209c0a265b|Cameo.Phoenix.agents|EXTORTIONER|extortioner
58ce47e1fea250209c0a265c|Cameo.Phoenix.agents|EXTORTIONIST|extortionist
58ce47e1fea250209c0a265d|Cameo.Phoenix.agents|FELON|felon
58ce47e1fea250209c0a265e|Cameo.Phoenix.agents|FORGER|forger
58ce47e1fea250209c0a265f|Cameo.Phoenix.agents|GANG|gang
58ce47e1fea250209c0a2660|Cameo.Phoenix.agents|GANGDOM|gangdom
58ce47e1fea250209c0a2661|Cameo.Phoenix.agents|GANGLAND|gangland
58ce47e1fea250209c0a2662|Cameo.Phoenix.agents|GANGSTER|gangster
58ce47e1fea250209c0a2663|Cameo.Phoenix.agents|GAOLBIRD|gaolbird
58ce47e1fea250209c0a2664|Cameo.Phoenix.agents|GUNRUNNER|gunrunner
58ce47e1fea250209c0a2665|Cameo.Phoenix.agents|HOLDUP_MAN|holdup+man
58ce47e1fea250209c0a2666|Cameo.Phoenix.agents|HOUSEBREAKER|housebreaker
58ce47e1fea250209c0a2667|Cameo.Phoenix.agents|HUMAN_TRAFFICKER|human+trafficker
58ce47e1fea250209c0a2668|Cameo.Phoenix.agents|ILLEGAL_IMMIGRANT|illegal+immigrant
58ce47e1fea250209c0a2669|Cameo.Phoenix.agents|ILLEGAL_MIGRANT|illegal+migrant
58ce47e1fea250209c0a266a|Cameo.Phoenix.agents|ILLICIT_DRUG_INDUSTR|illicit+drug+industr
58ce47e1fea250209c0a266b|Cameo.Phoenix.agents|JAILBIRD|jailbird
58ce47e1fea250209c0a266c|Cameo.Phoenix.agents|JAIL_BIRD|jail+bird
58ce47e1fea250209c0a266d|Cameo.Phoenix.agents|KIDNAPER|kidnaper
58ce47e1fea250209c0a266e|Cameo.Phoenix.agents|KIDNAPPER|kidnapper
58ce47e1fea250209c0a266f|Cameo.Phoenix.agents|KILLER|killer
58ce47e1fea250209c0a2670|Cameo.Phoenix.agents|LARCENER|larcener
58ce47e1fea250209c0a2671|Cameo.Phoenix.agents|LARCENIST|larcenist
58ce47e1fea250209c0a2672|Cameo.Phoenix.agents|LAWBREAKER|lawbreaker
58ce47e1fea250209c0a2673|Cameo.Phoenix.agents|LAW_OFFENDER|law+offender
58ce47e1fea250209c0a2674|Cameo.Phoenix.agents|MAFFIA|maffia
58ce47e1fea250209c0a2675|Cameo.Phoenix.agents|MAFIA|mafia
58ce47e1fea250209c0a2676|Cameo.Phoenix.agents|MAFIA_BOSS|mafia+boss
58ce47e1fea250209c0a2677|Cameo.Phoenix.agents|MAFIOSO|mafioso
58ce47e1fea250209c0a2678|Cameo.Phoenix.agents|MALEFACTOR|malefactor
58ce47e1fea250209c0a2679|Cameo.Phoenix.agents|MISCREANT|miscreant
58ce47e1fea250209c0a267a|Cameo.Phoenix.agents|MOBSTER|mobster
