286,nonna+mayer,102.0909091,110,78,43,121,0
287,craig+mello,99.81818182,105,71,43,114,0
288,ahmed+wali,98.3,102.5,76,43,119,0
289,ricardo+sang0ino,103.1875,107.5,74,43,117,0
290,besenczi+arpad,101,101,79,43,122,0
291,???????+???????+??????????+?????,3914.1875,4312.5,4289,43,4332,0
292,li+lig0o,100,106.5,74,43,117,0
293,yard?mc?s?+0zeyir+t0n?,136.8181818,114.5,262,43,305,0
294,aerop0erto+de+ˇmsterdam-schiphol,105.3125,108.5,182,43,225,0
295,r0dolph+g0liani,103.6,108,74,43,117,0
296,joel+eriksson,103.6153846,108,72,43,115,0
297,nicolas+lecoq-vallon,100.85,108,75,43,118,0
298,????+???????,992.75,1076,1047,43,1090,0
299,andrei+petrov,103.2307692,110,75,43,118,0
300,victor+jose+castellanos,102.5652174,108,75,43,118,0
301,?????????+?????,1012.933333,1080,1060,43,1103,0
302,damian+manso,100.25,107,72,43,115,0
303,garcia+padilla,98.92857143,101.5,71,43,114,0
304,mojco+k0cler+dolinar,100.65,107.5,74,43,117,0
305,royal+promotions,106.75,111,78,43,121,0
306,tony+penna,103.1,110,78,43,121,0
307,freddie+jacobson,100.8125,101.5,72,43,115,0
308,????????,12496.5,12501,66,12459,12525,0
309,ano0ar+el-sadate,98.0625,101,74,43,117,0
310,????+????????+??????,980.15,1085,1052,43,1095,0
311,piotr+moszynski,107.7333333,111,79,43,122,0
312,??+????,1371.285714,1585,1567,43,1610,0
313,yard?mc?s?+i?sam+el-aryan,150,109,732,43,775,0
314,????+???,10940.125,12498,12480,43,12523,0
315,vitaliy+klitchko,104.375,107,78,43,121,0
316,zsa+zsa+gˇbor,108.0769231,111,182,43,225,0
317,mohamad+al+zahar,97,102,79,43,122,0
318,ny≠ri+beˇta,124.2727273,110,194,43,237,0
319,ano0ar+kali,100.5454545,107,74,43,117,0
320,nency+pelosi,103,109,78,43,121,0
321,beno?t+p0ga,113.2727273,110,195,43,238,0
322,petra+kelly,102.5454545,108,78,43,121,0
323,semih+?zsoy,117.4545455,111,203,43,246,0
324,g0ttorm+bratteb?,113.5625,112.5,205,43,248,0
325,erik+bredholt,101.6923077,105,73,43,116,0
326,?q0ipe+de+no0velle+z?lande+de+r0gby+?+xv,106.1,106.5,190,43,233,0
327,r0ne+wig0m,103.8,109.5,76,43,119,0
328,maxime+bono,101.2727273,109,77,43,120,0
329,carle+s0arez+navarro,101.6,109,79,43,122,0
330,johann+vonlanthen,103.8823529,110,75,43,118,0
331,joan+lefkow,101.3636364,107,76,43,119,0
332,sandro+paim,101.1818182,109,72,43,115,0
333,dieter+doerr,101.6666667,103,73,43,116,0
334,ahmed+sa?d+khadr,104.375,100.5,196,43,239,0
335,francoise+la0rent,103.5294118,108,74,43,117,0
336,stevo+penderovski,105.7647059,111,75,43,118,0
337,andrij+descsica,100.4,101,72,43,115,0
338,thierry+monfort,106.0666667,111,78,43,121,0
339,peter+pÅtsep,116.25,112,209,43,252,0
340,isaak+andic,97.72727273,100,72,43,115,0
341,g0nter+gras,103,110,74,43,117,0
342,nokia+(selskap),93.93333333,107,75,40,115,0
343,???+?????+?????,1387.266667,1587,1567,43,1610,0
344,othman+al+bizanti,99.47058824,105,79,43,122,0
345,alf+h?gensen,110.25,103.5,186,43,229,0
346,leopoldo+gonzalez-echeniq0e,102.7777778,108,79,43,122,0
347,glen+frey,100.3333333,103,78,43,121,0
348,deyab+al-ali,93.33333333,99,78,43,121,0
349,francoise+bertrand,102.6111111,103.5,73,43,116,0
350,lars+br?gger,113.1666667,105.5,205,43,248,0
351,emilie+delagrange,100.3529412,103,71,43,114,0
352,am0sement+catering+trade+association,101.6111111,105,74,43,117,0
353,mig0el+mendon?a,110.3333333,108,188,43,231,0
354,joseffa+perez,102.0769231,102,79,43,122,0
355,tyler+brÅl?,128,114,209,43,252,0
356,mikael+skog,100.5454545,107,72,43,115,0
357,frederica+wilson,102.75,105,76,43,119,0
358,freddy+moore,102.25,105.5,78,43,121,0
359,samantha+fox,101.75,106.5,77,43,120,0
360,hassan+al+ibrahim,97.70588235,104,72,43,115,0
361,alexandre+saltanov,103.5,108,77,43,120,0
362,jir≠+menzel,114.1818182,108,194,43,237,0
363,j0lian+ba0mgartlinger,103.7142857,106,74,43,117,0
364,jo?o+da+silva,106.2307692,106,184,43,227,0
365,ryan+o'marra,97.16666667,109.5,82,39,121,0
366,mikael+skov,101.9090909,107,75,43,118,0
367,safwat+ghayy0r,104.7142857,109,78,43,121,0
368,l0is+garzõn,116.0909091,110,200,43,243,0
369,la0ra+smyth,103.7272727,109,78,43,121,0
370,????+????+???????,961,1083,1060,43,1103,0
371,anthony+h0rndall,104.375,109,78,43,121,0
372,man0el+palomar,102.3571429,108.5,74,43,117,0
373,konzerns+alcoa,103.2142857,109,79,43,122,0
374,christine+l0ders,104.1875,106.5,74,43,117,0
375,m0stafa+abdeljalili,101.5263158,105,74,43,117,0
376,mengist0+haile+mariem,100.5714286,105,74,43,117,0
377,tigres+tümil,113.4166667,108.5,183,43,226,0
378,othman+al-bezenti,99.58823529,105,79,43,122,0
379,hassan+h0ssein,103.4285714,107.5,74,43,117,0
380,???????+??+????+??????,1381.045455,1590.5,1564,43,1607,0
381,inge+gra†le,109.8181818,103,180,43,223,0
382,micha?l+phelps,110.8571429,106.5,192,43,235,0
383,peirferdinando+casini,102.6666667,105,72,43,115,0
384,hideki+moron0ki,103.2666667,107,74,43,117,0
385,d0san+gallis,101.5,106.5,74,43,117,0
386,meike+fe†mann,109.0769231,105,180,43,223,0
387,johan+botha,99.72727273,104,73,43,116,0
388,raÅl+sanlleh≠,122.6153846,108,209,43,252,0
389,????+????????,1001.153846,1082,1048,43,1091,0
390,antonio+m0noz+molina,102.75,110,79,43,122,0
391,???????+????????,1017.9375,1084.5,1049,43,1092,0
392,????????????,26619.83333,24836.5,17090,20234,37324,0
393,hans+m+bjone,95.58333333,105,72,43,115,0
394,man0el+winston,105.0714286,110,76,43,119,0
395,ahmed+salem+swedan,98.27777778,101,76,43,119,0
396,gisela+lindstrand,102.7647059,105,73,43,116,0
397,harry+jansson,104.3846154,110,78,43,121,0
398,wim+hoste,102.5555556,109,76,43,119,0
399,sindre+henriksen,103.4375,106,72,43,115,0
400,???£????£???,26313.83333,31949.5,40481,183,40664,0
401,???????+???????,1012.8,1081,1057,43,1100,0
402,bill+lewis,101,106.5,76,43,119,0
403,madonna+lo0ise+ciccone,100.0454545,105,74,43,117,0
404,?????+??????,1465.416667,1591.5,1567,43,1610,0
405,??????+????????????+???????,1005.185185,1080,1058,43,1101,0
406,h0gh+bronstein,103.6428571,107.5,74,43,117,0
407,ra0f+abd0l+rahman,98.05882353,102,74,43,117,0
408,j0an+pablo+d0arte,99.23529412,106,74,43,117,0
409,francesco+c0rcio,102.25,103.5,74,43,117,0
410,????????,12488,12484.5,90,12450,12540,0
411,mobilf0nkbetreiber+vodafone,104,105,75,43,118,0
412,gerald+laporte,101.7857143,105.5,73,43,116,0
413,ahmadi-moqaddam,99.53333333,100,68,45,113,0
414,monte+santo,103.5454545,110,73,43,116,0
415,glenn+m0lcaire,101.7857143,106.5,74,43,117,0
416,ana+teresa,99.1,101,73,43,116,0
417,maria+a0g0sta+von+trapp,100.1304348,110,75,43,118,0
418,michal+d0ris,101.3333333,105,74,43,117,0
419,leo+lagercrantz,102.9333333,108,79,43,122,0
420,bobby+cox,99.88888889,99,78,43,121,0
421,robert+howe,102.9090909,111,76,43,119,0
422,martin+lindstr?m,113.6875,109.5,205,43,248,0
423,jean-marie+robin,97.875,105,71,43,114,0
424,monica+vee+bratlie,98.66666667,103,75,43,118,0
425,hartm0t+stienen,104.9333333,110,74,43,117,0
426,idar+vollvik,102.8333333,107.5,75,43,118,0
427,????????????,17746.08333,12505.5,17979,12452,30431,0
428,billy+cr0d0p,103.5,108,78,43,121,0
429,mich?le+mercier,109.6,105,189,43,232,0
430,rúben+micael+freitas+da+ress0reic?o,106.5714286,105,207,43,250,0
